id,x,y,z,qw, qx, qy, qz, padding,
73,39.3504,-416.356,29.2444,0.99992,0.0107119,0.000206341,0.00677237,0,
74,304.35,-126.356,16.3479,0.963665,0.146931,-0.197298,0.104093,0,
75,254.35,-266.356,-12.0201,0.992345,0.104852,-0.0652291,0.00162195,0,
76,114.35,-301.356,-2.62334,0.990677,0.0371279,0.0954477,0.0898343,0,
77,64.3504,-381.356,26.8565,0.955791,-0.200742,-0.1969,-0.0860031,0,
78,24.3504,-201.356,18.414,0.971298,0.197614,-0.0801037,-0.10541,0,
79,194.35,-436.356,-10.7838,0.999523,0.0025315,0.0185274,0.0245985,0,
80,174.35,-376.356,-17.8275,0.960542,-0.193856,-0.109366,-0.166788,0,
81,94.3504,-336.356,14.5715,0.935523,0.162863,-0.229166,0.213907,0,
82,44.3504,-261.356,10.8108,0.997233,0.0398186,-0.043908,0.0448569,0,
83,114.35,-256.356,-23.3893,0.999478,-0.0254718,-0.0119234,-0.0158952,0,
84,224.35,-156.356,1.05533,0.992457,0.0810454,0.0731391,-0.0557728,0,
85,219.35,-141.356,1.32359,0.989678,0.0866204,-0.0344141,-0.108859,0,
86,24.3504,-111.356,-6.42749,0.989256,0.129395,0.0549625,-0.0401175,0,
87,334.35,-76.3557,27.828,0.935365,0.0664873,0.260008,0.230362,0,
88,184.35,-236.356,-21.7413,0.998763,-0.0322748,0.0328665,0.0187037,0,
89,4.35036,-216.356,27.8573,0.950839,0.180854,-0.148412,0.202907,0,
90,354.35,-276.356,-22.9806,0.994989,-0.0412338,0.0430631,-0.0802641,0,
91,99.3504,-296.356,1.35455,0.994149,-0.010337,-0.0756765,0.0763864,0,
92,244.35,-396.356,-46.4169,0.995614,0.070011,-0.0281291,-0.0553093,0,
93,4.35036,-131.356,0.260681,0.984548,-0.0174574,0.12613,-0.120212,0,
94,179.35,-291.356,-33.348,0.996041,-0.0631847,0.0451418,0.0432637,0,
95,124.35,-221.356,-33.1096,0.999999,0.000517291,-0.00128463,0.000399954,0,
96,99.3504,-166.356,-28.3462,0.974486,-0.179942,-0.0972897,-0.0923709,0,
97,199.35,-126.356,0.941818,0.976288,-0.113352,-0.14901,-0.108674,0,
98,149.35,-161.356,-16.2481,0.978489,0.0671542,-0.194156,0.0187696,0,
99,254.35,-331.356,-38.7243,0.99918,0.00769746,0.0364145,-0.0159619,0,
