id,x,y,z,qw, qx, qy, qz, padding,
74,284.35,-266.356,-42.4214,0.969471,0.181245,-0.146102,0.0770108,0,
75,-5.64964,-86.3557,51.8711,0.973685,-0.21527,-0.0157314,-0.0731404,0,
76,284.35,-236.356,10.4118,0.990445,0.1301,-0.0276833,0.0364071,0,
77,254.35,-71.3557,10.747,0.978639,-0.0890131,0.163299,0.0876114,0,
78,49.3504,-106.356,-1.14634,0.985682,0.152036,0.066902,0.0289987,0,
79,194.35,-126.356,46.1787,0.953272,-0.190157,0.175518,-0.155903,0,
80,-10.6496,-376.356,-33.1224,0.939024,-0.187964,-0.188738,0.217443,0,
81,329.35,-326.356,-38.9447,0.996804,0.0591662,0.0111667,-0.052507,0,
82,209.35,-261.356,21.5967,0.951841,-0.195123,-0.182813,0.15002,0,
83,164.35,-466.356,-13.0564,0.994989,-0.0412338,0.0430631,-0.0802641,0,
84,99.3504,-296.356,15.1352,0.998611,0.0364012,-0.0367427,0.0100939,0,
85,284.35,-186.356,-45.9756,0.987921,0.0821792,-0.103026,0.0815112,0,
86,24.3504,-346.356,-11.4673,0.966877,-0.147816,-0.206547,-0.0252489,0,
87,209.35,-441.356,-54.8566,0.980349,0.0601787,-0.179627,-0.0550335,0,
88,94.3504,-276.356,8.4326,0.988451,0.00644769,0.126707,-0.0828737,0,
89,234.35,-141.356,-25.3307,0.979781,0.15771,0.120046,0.027313,0,
90,299.35,-76.3557,21.9841,0.980321,0.11208,-0.0169909,-0.161615,0,
91,319.35,-266.356,13.2927,0.993952,-0.0595998,-0.0727861,-0.0566439,0,
92,159.35,-426.356,23.6725,0.92833,0.348315,-0.128658,0.0181114,0,
93,134.35,-286.356,-39.3557,0.998197,-0.0507878,0.0319435,0.00197116,0,
94,269.35,-356.356,-12.9285,0.999776,-0.00101562,-0.0129995,0.0166759,0,
95,264.35,-186.356,-38.535,0.984111,0.0574625,-0.142902,0.0883354,0,
96,109.35,-196.356,-3.34733,0.960416,-0.116295,-0.0776572,0.240927,0,
97,144.35,-471.356,-19.5206,0.923894,0.215515,0.120061,0.292505,0,
98,134.35,-361.356,-13.5355,0.998351,-0.0533594,-0.00404573,0.0207595,0,
99,309.35,-146.356,-33.7444,0.946739,0.173644,-0.130617,-0.237639,0,
100,199.35,-396.356,15.0735,0.989175,0.108564,0.0800407,-0.0577859,0,
101,94.3504,-231.356,24.7405,0.992146,-0.00152085,0.0918269,-0.0849197,0,
102,234.35,-116.356,52.1112,0.949332,0.237939,-0.0174839,-0.204569,0,
103,74.3504,-291.356,12.8166,0.964391,-0.206619,0.0972435,-0.133429,0,
104,244.35,-466.356,-19.6285,0.985295,0.0849294,-0.146424,-0.0232376,0,
105,64.3504,-71.3557,4.46697,0.947197,0.208005,-0.242941,0.0230654,0,
106,154.35,-476.356,26.0563,0.997414,0.0636405,-0.0326084,0.0071736,0,
107,334.35,-301.356,-1.6248,0.934473,-0.0746461,0.321822,0.132733,0,
108,259.35,-426.356,-32.5245,0.986814,0.116553,-0.110471,-0.0202409,0,
109,324.35,-456.356,-40.7131,0.960165,0.255316,0.00701428,0.113348,0,
110,284.35,-466.356,-80.2384,0.974724,-0.136515,-0.168802,-0.0527487,0,
111,334.35,-476.356,-54.1797,0.931745,0.0276351,0.164312,0.32263,0,
112,309.35,-111.356,-26.4024,0.930026,0.0599072,0.319908,-0.17065,0,
113,54.3504,-156.356,-35.665,0.937576,-0.317013,0.14168,0.0195095,0,
114,-20.6496,-91.3557,24.0159,0.992023,-0.106251,-0.021073,-0.0644762,0,
115,79.3504,-116.356,-36.204,0.934583,-0.208586,-0.207465,0.200013,0,
116,94.3504,-396.356,28.5559,0.990869,-0.0729858,-0.045178,-0.103976,0,
117,219.35,-331.356,-36.6019,1,-8.96783e-07,-6.79664e-06,1.28984e-05,0,
118,44.3504,-456.356,65.2666,0.938737,0.16959,0.238327,-0.182244,0,
119,9.35036,-186.356,45.3213,0.936382,-0.171687,-0.27313,0.13825,0,
120,34.3504,-306.356,44.1043,0.966125,-0.0729254,0.234059,-0.0806267,0,
121,179.35,-456.356,24.664,0.956366,0.00740556,0.190953,0.221012,0,
122,344.35,-371.356,-71.3177,0.99996,0.00575889,-0.00548462,-0.00408976,0,
123,209.35,-106.356,42.7938,0.995397,-0.0290747,0.0473044,-0.0781162,0,
124,19.3504,-406.356,-4.54596,0.924848,0.220044,0.204575,-0.233209,0,
125,289.35,-471.356,-18.704,0.937036,-0.138203,-0.0516142,0.316544,0,
126,199.35,-176.356,8.82008,0.999967,-0.00501501,-0.00633404,-0.00121683,0,
127,29.3504,-406.356,4.82038,0.966151,0.0816492,-0.189928,0.154316,0,
128,244.35,-471.356,-66.0263,0.965523,-0.0815283,-0.156827,0.191111,0,
129,-15.6496,-436.356,-17.7133,0.930699,-0.0331959,-0.362139,-0.0393935,0,
130,164.35,-326.356,-50.6896,0.929203,-0.291231,-0.151299,-0.169926,0,
131,274.35,-286.356,-31.165,0.97984,0.0351204,-0.061105,-0.186938,0,
132,344.35,-81.3557,70.7351,0.949217,-0.0780652,-0.238301,-0.190014,0,
133,324.35,-126.356,-18.3728,0.975452,0.172626,0.0245274,-0.134507,0,
